Number,# of Divisors,# of Factors,Fermat,Gaussian Prime,Highly Composite,Mod 5,Mod 6,Powerful,Pronic,Squarefree
1670,6,3,0,0,0,0,2,0,0,1
1671,2,2,0,0,0,1,3,0,0,1
1672,14,3,0,0,0,2,4,0,0,0
1673,2,2,0,0,0,3,5,0,0,1
1674,14,3,0,0,0,4,0,0,0,0
1675,4,2,0,0,0,0,1,0,0,0
1676,4,2,0,0,0,1,2,0,0,0
1677,6,3,0,0,0,2,3,0,0,1
1678,2,2,0,0,0,3,4,0,0,1
1679,2,2,0,0,0,4,5,0,0,1
1680,38,4,0,0,1,0,0,0,0,0
1681,1,1,0,0,0,1,1,1,0,0
1682,4,2,0,0,0,2,2,0,0,0
1683,10,3,0,0,0,3,3,0,0,0
1684,4,2,0,0,0,4,4,0,0,0
1685,2,2,0,0,0,0,5,0,0,1
1686,6,3,0,0,0,1,0,0,0,1
1687,2,2,0,0,0,2,1,0,0,1
1688,6,2,0,0,0,3,2,0,0,0
1689,2,2,0,0,0,4,3,0,0,1
1690,10,3,0,0,0,0,4,0,0,0
1691,2,2,0,0,0,1,5,0,0,1
1692,16,3,0,0,0,2,0,0,0,0
1693,0,1,1,0,0,3,1,0,0,1
1694,10,3,0,0,0,4,2,0,0,0
1695,6,3,0,0,0,0,3,0,0,1
1696,10,2,0,0,0,1,4,0,0,0
1697,0,1,1,0,0,2,5,0,0,1
1698,6,3,0,0,0,3,0,0,0,1
1699,0,1,1,1,0,4,1,0,0,1
1700,16,3,0,0,0,0,2,0,0,0
1701,10,2,0,0,0,1,3,0,0,0
1702,6,3,0,0,0,2,4,0,0,1
1703,2,2,0,0,0,3,5,0,0,1
1704,14,3,0,0,0,4,0,0,0,0
1705,6,3,0,0,0,0,1,0,0,1
1706,2,2,0,0,0,1,2,0,0,1
1707,2,2,0,0,0,2,3,0,0,1
1708,10,3,0,0,0,3,4,0,0,0
1709,0,1,1,0,0,4,5,0,0,1
1710,22,4,0,0,0,0,0,0,0,0
1711,2,2,0,0,0,1,1,0,0,1
1712,8,2,0,0,0,2,2,0,0,0
1713,2,2,0,0,0,3,3,0,0,1
1714,2,2,0,0,0,4,4,0,0,1
1715,6,2,0,0,0,0,5,0,0,0
1716,22,4,0,0,0,1,0,0,0,0
1717,2,2,0,0,0,2,1,0,0,1
1718,2,2,0,0,0,3,2,0,0,1
1719,4,2,0,0,0,4,3,0,0,0
1720,14,3,0,0,0,0,4,0,0,0
1721,0,1,1,0,0,1,5,0,0,1
1722,14,4,0,0,0,2,0,0,1,1
1723,0,1,1,1,0,3,1,0,0,1
1724,4,2,0,0,0,4,2,0,0,0
1725,10,3,0,0,0,0,3,0,0,0
1726,2,2,0,0,0,1,4,0,0,1
1727,2,2,0,0,0,2,5,0,0,1
1728,26,2,0,0,0,3,0,1,0,0
1729,6,3,1,0,0,4,1,0,0,1
1730,6,3,0,0,0,0,2,0,0,1
1731,2,2,0,0,0,1,3,0,0,1
1732,4,2,0,0,0,2,4,0,0,0
1733,0,1,1,0,0,3,5,0,0,1
1734,10,3,0,0,0,4,0,0,0,0
1735,2,2,0,0,0,0,1,0,0,1
1736,14,3,0,0,0,1,2,0,0,0
1737,4,2,0,0,0,2,3,0,0,0
1738,6,3,0,0,0,3,4,0,0,1
1739,2,2,0,0,0,4,5,0,0,1
1740,22,4,0,0,0,0,0,0,0,0
1741,0,1,1,0,0,1,1,0,0,1
1742,6,3,0,0,0,2,2,0,0,1
1743,6,3,0,0,0,3,3,0,0,1
1744,8,2,0,0,0,4,4,0,0,0
1745,2,2,0,0,0,0,5,0,0,1
1746,10,3,0,0,0,1,0,0,0,0
1747,0,1,1,1,0,2,1,0,0,1
1748,10,3,0,0,0,3,2,0,0,0
1749,6,3,0,0,0,4,3,0,0,1
1750,14,3,0,0,0,0,4,0,0,0
1751,2,2,0,0,0,1,5,0,0,1
1752,14,3,0,0,0,2,0,0,0,0
1753,0,1,1,0,0,3,1,0,0,1
1754,2,2,0,0,0,4,2,0,0,1
1755,14,3,0,0,0,0,3,0,0,0
1756,4,2,0,0,0,1,4,0,0,0
1757,2,2,0,0,0,2,5,0,0,1
1758,6,3,0,0,0,3,0,0,0,1
1759,0,1,1,1,0,4,1,0,0,1
1760,22,3,0,0,0,0,2,0,0,0
1761,2,2,0,0,0,1,3,0,0,1
1762,2,2,0,0,0,2,4,0,0,1
1763,2,2,0,0,0,3,5,0,0,1
1764,25,3,0,0,0,4,0,1,0,0
1765,2,2,0,0,0,0,1,0,0,1
1766,2,2,0,0,0,1,2,0,0,1
1767,6,3,0,0,0,2,3,0,0,1
1768,14,3,0,0,0,3,4,0,0,0
1769,2,2,0,0,0,4,5,0,0,1
1770,14,4,0,0,0,0,0,0,0,1
1771,6,3,0,0,0,1,1,0,0,1
1772,4,2,0,0,0,2,2,0,0,0
1773,4,2,0,0,0,3,3,0,0,0
1774,2,2,0,0,0,4,4,0,0,1
1775,4,2,0,0,0,0,5,0,0,0
1776,18,3,0,0,0,1,0,0,0,0
1777,0,1,1,0,0,2,1,0,0,1
